Aluno_ID,Distrito,Matematica_A,Economia_A,Portugues,MACS,Nota_Interna,Fisica_Quimica_A,Biologia_Geologia,Desenho_A,HCA,Historia_A,Geografia_A,Geometria_Descritiva_A,Historia_B,Ingles,Literatura_Portuguesa,Espanhol_Iniciacao,Filosofia,Frances,Espanhol_Continuacao,Mandarim_Iniciacao,Alemao,Portugues_LNM,Latim_A,Matematica_B,Portugues_L2
2022_12479,Coimbra,199.0,,165,,200,181.0,,,,,,200.0,,,,,,,,,,,,,
2022_12480,Porto,115.0,,98,,128,119.0,85.0,,,,,,,,,,,,,,,,,,
2022_12481,Porto,178.0,,158,,180,185.0,,,,,,178.0,,,,,,,,,,,,,
2022_12482,Lisboa,92.0,92.0,105,79.0,111,,,,,,,,,,,,,,,,,,,,
2022_12483,Outro,125.0,,109,,121,126.0,110.0,,,,,,,,,,,,,,,,,,
2022_12484,Braga,171.0,,142,,170,143.0,,,,,,166.0,,,,,,,,,,,,,
2022_12485,Outro,138.0,,130,,134,125.0,115.0,,,,,,,,,,,,,,,,,,
2022_12486,Leiria,156.0,,135,,160,140.0,131.0,,,,,,,,,,,,,,,,,,
2022_12487,Outro,,,162,,179,,,191.0,155.0,,,,,,,,,,,,,,,,
2022_12488,Porto,97.0,95.0,102,83.0,111,,,,,,,,,,,,,,,,,,,,
2022_12489,Lisboa,,,156,,191,,,,,200.0,172.0,,,,,,,,,,,,,,
2022_12490,Lisboa,81.0,84.0,96,,104,,,,,,95.0,,,,,,,,,,,,,,
2022_12491,Porto,181.0,176.0,162,,187,,,,,,164.0,,,,,,,,,,,,,,
2022_12492,Outro,148.0,,125,,144,147.0,120.0,,,,,,,,,,,,,,,,,,
2022_12493,Lisboa,,,109,,116,,,,,115.0,113.0,,,,,,,,,,,,,,
2022_12494,Setúbal,200.0,,157,,200,199.0,,,,,,199.0,,,,,,,,,,,,,178.0
2022_12495,Porto,131.0,,111,,138,134.0,,,,,,110.0,,,,,,,,,,,,,
2022_12496,Lisboa,115.0,,103,,128,103.0,111.0,,,,,,,,,,,,,,,,,,
2022_12497,Lisboa,168.0,,147,,183,179.0,,,,,,199.0,,,,,,,,,,,,,
2022_12498,Lisboa,95.0,,95,,105,90.0,90.0,,,,,,,,,,,,,,,,,,
2022_12499,Outro,,,165,,182,,,,,166.0,152.0,,,,,,,,,,,,,,
2022_12500,Setúbal,,,171,,183,,,,,154.0,,,,176.0,,,,,,,,,,,
2022_12501,Lisboa,150.0,,126,,162,156.0,147.0,,,,,,,,,,,,,,,,,,
2022_12502,Outro,155.0,,115,,140,140.0,,,,,,103.0,,,,,,,,,,,,,
2022_12503,Outro,,,157,,164,,,,,155.0,,,,,147.0,,,,,,,,,,
2022_12504,Outro,109.0,,100,,114,109.0,,,,,,78.0,,,,,,,,,,,,,
2022_12505,Leiria,180.0,,139,,170,165.0,156.0,,,,,,,,,,,,,,,,,,
2022_12506,Braga,88.0,,85,,109,95.0,70.0,132.0,,,,,,,,,,,,,,,,,
2022_12507,Lisboa,,,155,,183,,,,,168.0,,,,182.0,,,,,,,,,,,
2022_12508,Braga,,,91,,117,,,,,111.0,,,,,111.0,,,,,,,,,,
2022_12509,Outro,105.0,,101,,114,103.0,105.0,,,,,,,,,,,,,,,,,,
2022_12510,Lisboa,,,111,,116,,,136.0,,,,79.0,,,,,,,,,,,,,
2022_12511,Lisboa,,,130,,170,,,178.0,158.0,,,,,,,,,,,,,,,,
2022_12512,Setúbal,195.0,,173,,190,183.0,182.0,,,,,,,,,,,,,,,,,,
2022_12513,Outro,125.0,,105,,122,114.0,,,,,,100.0,,,,,,,,,,,,,
2022_12514,Lisboa,,,126,,142,,,,,137.0,129.0,,,,,,,,,,,,,,
2022_12515,Coimbra,133.0,,110,,119,108.0,,,,,,82.0,,,,,,,,,,,,,
2022_12516,Porto,146.0,,110,,137,115.0,121.0,,,,,,,,,,,,,,,,,,
2022_12517,Setúbal,,,179,,178,,,,,160.0,,,,,166.0,,,,,,,,,,
2022_12518,Outro,,,127,,162,,,,,137.0,,,,176.0,,,,,,,,,,,
2022_12519,Coimbra,,,161,136.0,169,,,,,167.0,,,,,,,,,,,,,,,
2022_12520,Faro,175.0,160.0,156,149.0,173,,,,,,,,,,,,,,,,,,,,
2022_12521,Setúbal,125.0,125.0,112,110.0,137,,,,,,,,,,,,,,,,,,,,
2022_12522,Braga,83.0,102.0,99,87.0,109,,,,,,,,,,,,,,,,,,,,
2022_12523,Porto,120.0,,103,,130,130.0,97.0,,,,,,,,,,,,,,,,,,
2022_12524,Outro,,,80,82.0,105,,,,,106.0,,,,,,,,,,,,,,,
2022_12525,Porto,,,116,,150,,,149.0,141.0,,,,,,,,,,,,,,,,
2022_12526,Lisboa,,,124,,139,,,,,127.0,121.0,,,,,,,,,,,,,,
2022_12527,Lisboa,165.0,,145,,160,156.0,128.0,,,,,,,,,,,,,,,,,,
2022_12528,Lisboa,107.0,117.0,97,107.0,119,,,,,,,,,,,,,,,,,,,,
2022_12529,Setúbal,,,77,,100,,,,,80.0,,,,84.0,,,,,,,,,,,
2022_12530,Coimbra,,,116,,128,,,,,117.0,,,,,116.0,,,,,,,,,,
2022_12531,Leiria,,,111,,153,,,152.0,,,,132.0,,,,,,,,,,,,,
2022_12532,Braga,189.0,,160,,192,170.0,178.0,,,,,,,,,,,,,,,,,,
2022_12533,Braga,179.0,,145,,186,178.0,194.0,,,,,,,,,,,,,,,,,,
2022_12534,Porto,126.0,,115,,146,130.0,,,,,,125.0,,,,,,,,,,,,,
2022_12535,Braga,200.0,,196,,200,199.0,197.0,,,,,,,,,,,,,,,,,,
2022_12536,Coimbra,149.0,,122,,147,148.0,123.0,,,,,,,,,,,,,,,,,,
2022_12537,Porto,,,145,,167,,,,,156.0,,,,168.0,,,,,,,,,,,
2022_12538,Porto,146.0,132.0,119,,143,,,,,,121.0,,,,,,,,,,,,,,
2022_12539,Faro,,,95,81.0,102,,,,,96.0,,,,,,,,,,,,,,,
2022_12540,Outro,190.0,165.0,154,138.0,174,,,,,,,,,,,,,,,,,,,,
2022_12541,Lisboa,146.0,,116,,148,137.0,110.0,,,,,,,,,,,,,,,,,,
2022_12542,Outro,153.0,146.0,119,125.0,155,,,,,,,,,,,,,,,,,,,,
2022_12543,Lisboa,171.0,,126,,155,147.0,122.0,,,,,,,,,,,,,,,,,,
2022_12544,Lisboa,,,82,,109,,,,,105.0,,,,,103.0,,,,,,,,,,
2022_12545,Faro,,,122,,153,135.0,,,,138.0,,,,175.0,,,,,,,,,,,
2022_12546,Lisboa,200.0,175.0,158,,189,,,,,,154.0,,,,,,,,,,,,,,
2022_12547,Porto,,,99,109.0,122,,,,,121.0,,,,,,,,,,,,,,,
2022_12548,Setúbal,142.0,,116,,136,119.0,115.0,,,,,,,,,,,,,,,,,,
2022_12549,Braga,,,125,,152,,,,,138.0,,,,,151.0,,,,,,,,,,
2022_12550,Lisboa,100.0,115.0,106,,120,,,,,,102.0,,,,,,,,,,,,,,
2022_12551,Coimbra,149.0,153.0,126,,157,,,,,,135.0,,,,,,,,,,,,,,
2022_12552,Porto,,,126,111.0,128,,,,,129.0,,,,,,,,,,,,,,,
2022_12553,Setúbal,,,99,,123,,,146.0,,,,86.0,,,,,,,,,,,,,
2022_12554,Porto,177.0,,141,,176,161.0,,,,,,192.0,,,,,,,,,,,,,
2022_12555,Coimbra,160.0,,132,,156,151.0,131.0,,,,,,,,,,,,,,,,,,
2022_12556,Porto,,,80,,120,,,,,101.0,,,,136.0,,,,,,,,,,,
2022_12557,Porto,,,139,,180,,,177.0,,,,165.0,,,,,,,,,,,,,
2022_12558,Lisboa,95.0,71.0,79,,102,,,,,106.0,92.0,,,,,,,,,,,,,,
2022_12559,Outro,136.0,,121,,139,124.0,118.0,,,,,,,,,,,,,,,,,,
2022_12560,Outro,135.0,,110,,137,141.0,125.0,,,,,,,,,,,,,,,,,,
2022_12561,Braga,179.0,,138,,165,145.0,142.0,,,,,,,,,,,,,,,,,,
2022_12562,Lisboa,,,88,,104,,,,,101.0,,,,,100.0,,,,,,,,,,
2022_12563,Outro,,,126,,146,,,,,156.0,133.0,,,,,,,,,,,,,,
2022_12564,Setúbal,152.0,150.0,132,,163,,,,,,135.0,,,,,,,,,,,,,,
2022_12565,Leiria,,,149,,181,,,,,178.0,175.0,,,,,,,,,,,,,,
2022_12566,Leiria,200.0,187.0,156,,197,,,,200.0,,192.0,,,,,,,,,,,,,,
2022_12567,Outro,165.0,,126,,163,135.0,,,,,,151.0,,,,,,,,,,,,,
2022_12568,Lisboa,105.0,96.0,95,89.0,105,,,,,,,,,,,,,,,,,,,,
2022_12569,Lisboa,,,119,,140,,,,,126.0,,,,,121.0,,,,,,,,,,
2022_12570,Setúbal,106.0,,87,,104,90.0,,,,,,71.0,,,,,,,,,,,,,
2022_12571,Lisboa,168.0,,143,,166,160.0,,,,,,149.0,,,,,,,,,,,,,
2022_12572,Setúbal,,,97,,120,,,,,110.0,96.0,,,,,,,,,,,,,,
2022_12573,Lisboa,166.0,,137,,173,165.0,,,,,,155.0,,,,,,,,,,,,,
2022_12574,Lisboa,,,196,,197,,,,,200.0,,,,196.0,171.0,,,,,,,,,,
2022_12575,Porto,187.0,154.0,152,,173,,,,,,140.0,,,,,,,,,,,,,,
2022_12576,Faro,195.0,,155,,192,166.0,,,,,,196.0,,,,,,,,,,,,,
2022_12577,Lisboa,176.0,,156,,184,177.0,171.0,,,,,,,,,,,,,,,,,,
2022_12578,Porto,185.0,,130,,171,158.0,152.0,,,,,,,,,,,,,,,,,,
2022_12579,Outro,101.0,,98,,113,113.0,95.0,,,,,,,,,,,,,,,,,,
2022_12580,Porto,,,150,,176,,,,,165.0,,,,,165.0,,,,,,,,,,
2022_12581,Setúbal,131.0,,115,,132,120.0,,,,,,100.0,,,,,,,,,,,,,
2022_12582,Outro,159.0,,135,,157,148.0,129.0,,,,,,,,,,,,,,,,,,
2022_12583,Outro,,,138,,153,,,,,156.0,136.0,,,,,,,,,,,,,,
2022_12584,Lisboa,,,120,134.0,139,,,,,136.0,,,,,,,,,,,,,,,
2022_12585,Faro,,,127,,138,,,,,138.0,121.0,,,,,,,,,,,,,,
2022_12586,Porto,,,129,,160,,,,,146.0,,,,,159.0,,,,,,,,,,
2022_12587,Braga,172.0,154.0,140,137.0,165,,,,,,,,,,,,,,,,,,,,
2022_12588,Lisboa,121.0,115.0,112,95.0,131,,,,,,,,,,,,,,,,,,,,
2022_12589,Outro,171.0,,141,,167,150.0,139.0,,,,,,,,,,,,,,,,,,
2022_12590,Outro,,,105,,133,,,,,123.0,,,,,117.0,,,,,,,,,,
2022_12591,Lisboa,157.0,,155,,180,146.0,,,,,,191.0,,,,,,,,,,,,,
2022_12592,Setúbal,167.0,150.0,135,147.0,166,,,,,,,,,,,,,,,,,,,,
2022_12593,Lisboa,,,120,122.0,143,,,,,124.0,,,,,,,,,,,,,,,
2022_12594,Braga,,,145,,167,,,,,139.0,,,,173.0,,,,,,,,,,,
2022_12595,Outro,171.0,176.0,149,154.0,177,,,,,,,,,,,,,,,,,,,,
2022_12596,Outro,,,135,,155,,,,,159.0,,,,,141.0,,,,,,,,,,
2022_12597,Setúbal,179.0,,136,,180,167.0,,,,,,172.0,,,,,,,,,,,,,
2022_12598,Outro,109.0,106.0,116,109.0,122,,,,,,,,,,,,,,,,,,,,
2022_12599,Lisboa,186.0,,185,,193,168.0,168.0,,,,,,,,,,,,,,,,,,
2022_12600,Lisboa,135.0,,107,,127,123.0,111.0,,,,,,,,,,,,,,,,,,
2022_12601,Leiria,147.0,,116,,131,126.0,102.0,,,,,,,,,,,,,,,,,,
2022_12602,Braga,198.0,182.0,162,200.0,200,,,,,,,,,,,,,,,,,,,,
2022_12603,Outro,,,98,96.0,121,,,,,126.0,,,,,,,,,,,,,,,
2022_12604,Coimbra,197.0,,169,,200,199.0,197.0,,,,,,,,,,,,,,,,,,
2022_12605,Lisboa,147.0,128.0,119,107.0,139,,,,,,,,,,,,,,,,,,,,
2022_12606,Outro,169.0,,119,,156,156.0,139.0,,,,,,,,,,,,,,,,,,
2022_12607,Outro,128.0,,119,,137,142.0,112.0,,,,,,,,,,,,,,,,,,
2022_12608,Lisboa,195.0,,158,,193,180.0,185.0,,,,,,,,,,,,,,,,,,
2022_12609,Lisboa,,,157,,197,,,,,200.0,166.0,200.0,,,,,,,,,,,,,
2022_12610,Porto,,,127,,147,,,,,141.0,128.0,,,,,,,,,,,,,,
2022_12611,Lisboa,186.0,,157,,190,175.0,,,,,,178.0,,,,,,,,,,,,,
2022_12612,Lisboa,,,158,151.0,177,,,,,178.0,,,,,,,,,,,,,,,
2022_12613,Braga,162.0,,133,,153,148.0,137.0,,,,,,,,,,,,,,,,,,
2022_12614,Lisboa,165.0,,134,,162,141.0,,,,,,148.0,,,,,,,,,,,,,
2022_12615,Porto,185.0,,145,,167,176.0,,,,,,155.0,,,,,,,,,,,,,
2022_12616,Setúbal,,,127,,161,,,173.0,,,,135.0,,,,,,,,,,,,,
2022_12617,Faro,158.0,152.0,135,,167,,,,,,137.0,,,,,,,,,,,,,,
2022_12618,Leiria,136.0,,107,,130,116.0,111.0,,,,,,,,,,,,,,,,,,
2022_12619,Porto,149.0,,121,,135,122.0,105.0,,,,,,,,,,,,,,,,,,
2022_12620,Setúbal,149.0,138.0,140,,157,,,,,,131.0,,,,,,,,,,,,,,
2022_12621,Lisboa,181.0,200.0,147,156.0,187,,,,,,,,,,,,,,,,,,,,
2022_12622,Lisboa,,,140,,155,,,,,158.0,142.0,,,,,,,,,,,,,,
2022_12623,Porto,199.0,,175,,183,172.0,,,,,,163.0,,,,,,,,,,,,,
2022_12624,Lisboa,140.0,,116,,140,118.0,125.0,,,,,,,,,,,,,,,,,,
2022_12625,Lisboa,108.0,,101,,121,115.0,109.0,,,,,,,,,,,,,,,,,,
2022_12626,Braga,168.0,,137,,182,173.0,176.0,,,,,,,,,,,,,,,,,,
2022_12627,Outro,145.0,,125,,139,136.0,108.0,,,,,,,,,,,,,,,,,,
2022_12628,Setúbal,159.0,164.0,145,,161,,,,,,149.0,,,,,,,,,,,,,,
2022_12629,Braga,168.0,147.0,141,125.0,160,,,,,,,,,,,,,,,,,,,,
2022_12630,Lisboa,161.0,,131,,159,157.0,146.0,,,,,,,,,,,,,,,,,,
2022_12631,Porto,181.0,,157,,192,180.0,,,,,,199.0,,,,,,,,,,,,,
2022_12632,Outro,,,101,85.0,108,,,,,108.0,,,,,,,,,,,,,,,
2022_12633,Porto,,,109,106.0,136,,,,,132.0,,,,,,,,,,,,,,,
2022_12634,Lisboa,172.0,,139,,186,171.0,,,,,,185.0,,,,,,,,,,,,,
2022_12635,Lisboa,,,135,133.0,151,,,,,139.0,,,,,,,,,,,,,,,
2022_12636,Porto,,,139,119.0,140,,,,,137.0,,,,,,,,,,,,,,,
2022_12637,Outro,,,165,,173,,,,,196.0,145.0,,,,,,,,,,,,,,
2022_12638,Coimbra,,,135,136.0,160,,,,,171.0,,,,,,,,,,,,,,,
2022_12639,Porto,185.0,171.0,160,159.0,184,,,,,,,,,,,,,,,,,,,,
2022_12640,Outro,,,127,,157,,,,,141.0,140.0,,,,,,,,,,,,,,
2022_12641,Lisboa,180.0,,135,,166,146.0,156.0,,,,,,,,,,,,,,,,,,
2022_12642,Outro,147.0,133.0,129,130.0,153,,,,,,,,,,,,,,,,,,,,
2022_12643,Porto,,,128,,163,,,165.0,145.0,,,,,,,,,,,,,,,,
2022_12644,Lisboa,,,109,,140,,,147.0,128.0,,,,,,,,,,,,,,,,
2022_12645,Braga,185.0,167.0,162,,181,,,,,,148.0,,,,,,,,,,,,,,
2022_12646,Outro,,,101,,122,,,,,106.0,,,,,102.0,,,,,,,,,,
2022_12647,Lisboa,187.0,,147,,178,172.0,,,,,,158.0,,,,,,,,,,,,,
2022_12648,Porto,165.0,,123,,166,161.0,153.0,,,,,,,,,,,,,,,,,,
2022_12649,Outro,,138.0,110,,137,,,148.0,,,,98.0,,,,,,,,,,,,,
2022_12650,Outro,155.0,,129,,138,125.0,110.0,,,,,,,,,,,,,,,,,,
2022_12651,Lisboa,,,142,,181,,,176.0,,,,200.0,,,,,,,,,,,,,
2022_12652,Coimbra,,,162,148.0,173,,,,,166.0,,,,,,,,,,,,,,,
2022_12653,Lisboa,,,116,113.0,134,,,,,132.0,,,,,,,,,,,,,,,
2022_12654,Lisboa,,,166,,179,,,,,169.0,192.0,,,,,,,,,,,,,,
2022_12655,Setúbal,166.0,,135,,169,165.0,149.0,,,,,,,,,,,,,,,,,,
2022_12656,Braga,,,111,96.0,128,,,,,118.0,,,,,,,,,,,,,,,
2022_12657,Lisboa,,,196,,198,,,,,166.0,,,,190.0,,,,,,,,,,,
2022_12658,Porto,98.0,,95,,113,97.0,87.0,,,,,,,,,,,,119.0,,,,,,
2022_12659,Porto,,,95,,114,,,,,112.0,105.0,,,,,,,,,,,,,,
2022_12660,Porto,196.0,161.0,178,,190,,,,,,148.0,,,,,,,,,,,,,,
2022_12661,Lisboa,171.0,,146,,174,167.0,153.0,,,,,,,,,,,,,,,,,,
2022_12662,Faro,,,98,95.0,114,,,,,101.0,,,,,,,,,,,,,,,
2022_12663,Outro,138.0,,121,,139,129.0,115.0,,,,,,,,,,,,,,,,,,
2022_12664,Porto,200.0,,161,,197,182.0,166.0,,,,,,,,,,,,,,,,,,
2022_12665,Lisboa,,,156,,189,,,,,200.0,,,,188.0,,,,,,,,,,,
2022_12666,Outro,163.0,153.0,136,162.0,164,,,,,,,,,,,,,,,,,,,,
2022_12667,Outro,165.0,,142,,165,145.0,142.0,,,,,,,,,,,,,,,,,,
2022_12668,Lisboa,,,130,,159,,,172.0,140.0,,,,,,,,,,,,,,,,
2022_12669,Lisboa,,,159,,191,,,189.0,,,,198.0,,,,,,,,,,,,,
2022_12670,Outro,157.0,,119,,150,130.0,128.0,,,,,,,,,,,,,,,,,,
2022_12671,Outro,199.0,,152,,187,172.0,169.0,,,,,,,,,,,,,,,,,,
2022_12672,Lisboa,,,86,81.0,105,,,,,110.0,,,,,,,,,,,,,,,
2022_12673,Lisboa,172.0,,161,,177,155.0,171.0,,,,,,,,,,,,,,,,,,
2022_12674,Braga,,,122,138.0,134,,,,,136.0,,,,,,,,,,,,,,,
2022_12675,Lisboa,105.0,,88,,100,84.0,74.0,,,,,,,,,,,,,,,,,,
2022_12676,Lisboa,185.0,,157,,185,185.0,161.0,,,,,,,,,,,,,,,,,,
2022_12677,Lisboa,180.0,165.0,136,,169,,,,,,145.0,,,,,,,,,,,,,,
2022_12678,Lisboa,36.0,,59,,100,75.0,62.0,,,,,,,,,,,,,,,,,,
2022_12679,Lisboa,,,159,,177,,,,,168.0,155.0,,,,,,,,,,,,,,
2022_12680,Coimbra,149.0,,126,,161,147.0,,,,,,155.0,,,,,,,,,,,,,
2022_12681,Lisboa,131.0,,104,,128,128.0,,,,,,95.0,,,,,,,,,,,,,
2022_12682,Porto,154.0,,140,,170,158.0,,,,,,176.0,,,,,,,,,,,,,
2022_12683,Outro,160.0,126.0,122,129.0,147,,,,,,,,,,,,,,,,,,,,
2022_12684,Braga,,,118,,148,,,152.0,138.0,,,,,,,,,,,,,,,,
2022_12685,Porto,,,166,200.0,200,,,,,171.0,,,,,,,,,,,,,,,
2022_12686,Setúbal,181.0,161.0,148,156.0,174,,,,,,,,,,,,,,,,,,,,
2022_12687,Lisboa,136.0,,115,,139,128.0,118.0,,,,,,,,,,,,,,,,,,
2022_12688,Faro,116.0,,120,,130,125.0,,,,,,115.0,,,,,,,,,,,,,
2022_12689,Lisboa,75.0,,81,,100,64.0,57.0,,,,,,,,,,,,,,,,,,
2022_12690,Faro,,,139,,178,,,171.0,,,,185.0,,,,,,,,,,,,,
2022_12691,Lisboa,145.0,,126,,147,137.0,,,,,,114.0,,,,,,,,,,,,,
2022_12692,Outro,,,196,,200,,,200.0,170.0,,,,,,,,,,,,,,,,
2022_12693,Outro,177.0,,142,,163,141.0,151.0,,,,,,,,,,,,,,,,,,
2022_12694,Lisboa,95.0,,95,,112,117.0,102.0,,,,,,,,,,,,,,,,,,
2022_12695,Outro,135.0,,123,,143,143.0,111.0,,,,,,,,,,,,,,,,,,
2022_12696,Porto,,,108,,145,,,,,126.0,,,,158.0,,,,,,,,,,,
2022_12697,Outro,159.0,,125,,153,142.0,119.0,,,,,,,,,,,,,,,,,,
2022_12698,Outro,,,105,,142,,,148.0,127.0,,,,,,,,,,,,,,,,
2022_12699,Leiria,200.0,,161,,200,173.0,,,,,,199.0,,,,,,,,,,,,,
2022_12700,Lisboa,,,168,,169,,,,,154.0,,,,,168.0,,,,,,,,,,
2022_12701,Outro,,,135,,167,,,,,165.0,155.0,,,,,,,,,,,,,,
2022_12702,Outro,198.0,,156,,196,170.0,197.0,,,,,,,,,,,,,,,,,,
2022_12703,Porto,,,179,,200,,,195.0,,,,195.0,,,,,,,,,,,,,
2022_12704,Setúbal,,,125,110.0,144,,,,,141.0,,,,,,,,,,,,,,,
2022_12705,Setúbal,164.0,,131,,157,137.0,148.0,,,,,,,,,,,,,,,,,,
2022_12706,Outro,140.0,,111,,132,128.0,98.0,,,,,,,,,,,,,,,,,,
2022_12707,Lisboa,,,107,,124,,,,,117.0,110.0,,,,,,,,,,,,,,
2022_12708,Porto,160.0,,122,,158,161.0,,,,,,159.0,,,,,,,,,,,,,
2022_12709,Lisboa,160.0,,128,,156,156.0,137.0,,,,,,,,,,,,,,,,,,
2022_12710,Porto,128.0,125.0,105,101.0,128,,,,,,,,,,,,,,,,,,,,
2022_12711,Lisboa,,,141,,167,,,,,151.0,,,,,151.0,,,,,,,,,,
2022_12712,Outro,175.0,,152,,173,168.0,156.0,,,,,,,,,,,,,,,,,,
2022_12713,Lisboa,,,73,80.0,100,,,,,95.0,,,,,,,,,,,,,,,
2022_12714,Outro,172.0,172.0,143,,174,,,,,,155.0,,,,,,,,,,,,,,
2022_12715,Lisboa,190.0,,196,,198,194.0,171.0,,,,,,,,,,,,,,,,,,
2022_12716,Lisboa,,,120,,145,,,144.0,128.0,,,,,,,,,,127.0,,,,,,
2022_12717,Lisboa,,,81,85.0,100,,,,,108.0,,,,,,,,,,,,,,,
2022_12718,Setúbal,,,145,,175,,,,,168.0,,,,,167.0,,,,,,,,,,
2022_12719,Lisboa,170.0,,132,,160,163.0,140.0,,,,,,,,,,,,,,,,,,
2022_12720,Lisboa,149.0,,106,,142,122.0,126.0,,,,,,,,,,,,,,,,,,
2022_12721,Outro,145.0,,135,,150,148.0,,,,,,136.0,,,,,,,,,,,,,
2022_12722,Porto,,,115,,138,,,135.0,,,,108.0,,,,,,,,,,,,,
2022_12723,Lisboa,,,196,,200,,,,,180.0,,,,,200.0,,,,,,,,,,
2022_12724,Outro,,,121,,154,,,161.0,,,,127.0,,,,,,,,,,,,,
2022_12725,Outro,147.0,150.0,132,135.0,162,,,,,,,,,,,,,,,,,,,,
2022_12726,Lisboa,159.0,,148,,166,165.0,135.0,,,,,,,,,,,,,,,,,,
2022_12727,Porto,127.0,,128,,142,125.0,,,,,,112.0,,,,,,,,,,,,,
2022_12728,Braga,175.0,,138,,168,157.0,148.0,,,,,,,,,,,,,,,,,,
2022_12729,Outro,,,170,,178,,,171.0,150.0,,,,,,,,,,,,,,,,
2022_12730,Lisboa,,,99,,118,,,130.0,,,,67.0,,,,,,,,,,,,,
2022_12731,Porto,146.0,152.0,126,,149,,,,,,125.0,,,,,,,,,,,,,,
2022_12732,Porto,,,111,,141,,,,,132.0,126.0,,,,,,,,,,,,,,
2022_12733,Lisboa,,,148,,176,,,,,176.0,156.0,,,,,,,,,,,,,,
2022_12734,Porto,176.0,189.0,155,160.0,185,,,,,,,,,,,,,,,,,,,,
2022_12735,Setúbal,193.0,159.0,159,160.0,190,,,,,,,,,,,,,,,,,,,,
2022_12736,Outro,,,99,,121,,,,,115.0,,,,,110.0,,,,,,,,,,
2022_12737,Lisboa,,,159,,191,,,,,189.0,,,,187.0,,,,,,,,,,,
2022_12738,Lisboa,100.0,,101,,114,123.0,,,,,,95.0,,,,,,,,,,,,,
2022_12739,Porto,,,127,,140,,,150.0,,,,105.0,,,,,,,,,,,,,
2022_12740,Setúbal,131.0,,100,,131,118.0,,,,,,104.0,,,,,,,,,,,,,
2022_12741,Outro,,,162,,180,,,,,167.0,,,,177.0,,,,,,,,,,,
2022_12742,Faro,95.0,95.0,98,96.0,113,,,,,,,,,,,,,,,,,,,,
2022_12743,Coimbra,151.0,152.0,130,118.0,151,,,,,,,,,,,,,,,,,,,,
2022_12744,Faro,,,128,,167,,,,,152.0,,,,179.0,,,,,,,,,,,
2022_12745,Porto,155.0,,113,,133,126.0,114.0,,,,,,,,,,,,,,,,,,
2022_12746,Setúbal,161.0,136.0,131,,160,,,,,,131.0,,,,,,,,,,,,,,
2022_12747,Setúbal,,,121,,152,,,,,146.0,,,,,150.0,,,,,,,,,,
2022_12748,Faro,,,196,,190,,,,,185.0,157.0,,,,,,,,,,,,,,
2022_12749,Coimbra,,,147,,173,,,,,155.0,167.0,,,,,,,,,,,,,,
2022_12750,Setúbal,,,107,,142,,,,,128.0,,,,156.0,,,,,,,,,,,
2022_12751,Coimbra,188.0,,140,,192,170.0,,,,,,196.0,,,,,,183.0,,,,,,,
2022_12752,Lisboa,101.0,,89,,111,117.0,91.0,,,,,,,,,,,,,,,,,,
2022_12753,Setúbal,161.0,,136,,151,144.0,,,,,,132.0,,,,,,,,,,,,,
2022_12754,Outro,,,117,118.0,142,,,,,130.0,,,,,,,,,,,,,,,
2022_12755,Outro,136.0,,116,,129,133.0,,,,,,106.0,,,,,,,,,,,,,
2022_12756,Outro,194.0,,170,,199,199.0,,,,,,189.0,,,,,,,,,,,,,
2022_12757,Lisboa,175.0,166.0,155,,178,,,,,,141.0,,,,,,,,,,,,,,
2022_12758,Lisboa,,,87,75.0,102,,,,,99.0,,,,,,,,,,,,,,,
2022_12759,Porto,,,85,,111,,,,,99.0,,,,,99.0,,,,,,,,,,
2022_12760,Porto,102.0,,100,,107,109.0,,,,,,85.0,,,,,,,,,,,,,
2022_12761,Outro,111.0,,88,,114,104.0,93.0,,,,,,,,,,,,,,,,,,
2022_12762,Outro,,,133,,167,,,170.0,153.0,,,,,,,,,,,,,,,,
2022_12763,Faro,150.0,,128,,144,135.0,125.0,,,,,,,,,,,,,,,,,,
2022_12764,Porto,,,196,,198,,,,,200.0,152.0,,,,,,,,,,,,,,
2022_12765,Lisboa,,,114,,136,,,,,119.0,,,,149.0,,,,,,,,,,,
2022_12766,Lisboa,,,111,,131,,,,,129.0,127.0,,,,,,,,,,,,,,
2022_12767,Lisboa,,,115,108.0,132,,,,,137.0,,,,,,,,,,,,,,,
2022_12768,Outro,130.0,,116,,138,125.0,,,,,,135.0,,,,,,,,,,,,,
2022_12769,Porto,165.0,149.0,120,120.0,155,,,,,,,,,,,,,,,,,,,,
2022_12770,Porto,152.0,161.0,131,128.0,158,,,,,,,,,,,,,,,,,,,,
2022_12771,Lisboa,141.0,,108,,133,124.0,116.0,,,,,,,,,,,,,,,,,,
2022_12772,Lisboa,121.0,,102,,132,111.0,116.0,,,,,,,,,,,,,,,,,,
2022_12773,Lisboa,191.0,,176,,194,199.0,168.0,,,,,,,,,,,,,,,,,,
2022_12774,Lisboa,112.0,,97,,125,126.0,95.0,,,,,,,,,,,,,,,,,,
2022_12775,Coimbra,,,137,,163,,,,,158.0,148.0,,,,,,,,,,,,,,
2022_12776,Outro,180.0,176.0,151,,185,,,,,,171.0,,,,,,,,,,,,,,
2022_12777,Outro,,,115,,134,,,,,117.0,,,,,128.0,,,,,,,,,,
2022_12778,Faro,135.0,,106,,137,130.0,105.0,,,,,,,,,,,,,,,,,,
