Aluno_ID,Distrito,Desenho_A,Portugues,Geometria_Descritiva_A,Nota_Interna,Matematica_A,Biologia_Geologia,Fisica_Quimica_A,Historia_A,Ingles,Economia_A,MACS,Literatura_Portuguesa,Geografia_A,HCA,Portugues_L2,Historia_B,Espanhol_Continuacao,Filosofia,Latim_A,Espanhol_Iniciacao,Frances,Alemao,Portugues_LNM,Mandarim_Iniciacao,Matematica_B
2021_11974,Lisboa,131.0,122,106.0,133,,,,,,,,,,,,,,,,,,,,,
2021_11975,Outro,,130,,140,125.0,,,,,130.0,,,105.0,,,,,,,,,,,,
2021_11976,Braga,,155,,159,150.0,,,,,177.0,,,128.0,,,,,,,,,,,,
2021_11977,Braga,,198,,200,176.0,165.0,200.0,,,,,,,,,,,,,,,,,,
2021_11978,Lisboa,,130,,138,136.0,138.0,116.0,,,,,,,,,,,,,,,,,,
2021_11979,Coimbra,,128,,155,,,,128.0,165.0,,,,,,,,,,,,,,,,
2021_11980,Outro,172.0,155,,170,,,,,,,,,,158.0,,,,,,,,,,,
2021_11981,Porto,,187,,194,188.0,195.0,163.0,,,,,,,,,,,,,,,,,,
2021_11982,Lisboa,,145,,172,,,,152.0,,,168.0,,,,,,,,,,,,181.0,,
2021_11983,Faro,,141,,144,141.0,,,,,131.0,,,110.0,,,,,,,,,,,,
2021_11984,Coimbra,,151,,160,146.0,146.0,129.0,,,,,,,,,,,,,,,,,,
2021_11985,Lisboa,,119,90.0,110,106.0,,83.0,,,,,,,,,,,,,,,,,,
2021_11986,Outro,,110,,127,,,,121.0,,,,96.0,,,,,,,,,,,,,
2021_11987,Braga,,166,,183,,,,165.0,,,,,160.0,,,,,,,,,,,,
2021_11988,Braga,,100,,100,50.0,95.0,60.0,,,,,,,,,,,,,,,,,,
2021_11989,Outro,,151,199.0,185,175.0,,168.0,,,,,,,,,,,,,,,,,,
2021_11990,Coimbra,135.0,111,118.0,141,,,,,,,,,,,,,,,,,,,,,
2021_11991,Coimbra,,95,104.0,104,78.0,,65.0,,,,,,,,,,,,,,,,,,
2021_11992,Porto,,185,,188,167.0,165.0,167.0,,,,,,,,,,,,,,,,,,
2021_11993,Outro,,189,,183,161.0,158.0,180.0,,,,,,,,,,,,,,,,,,
2021_11994,Setúbal,178.0,160,,182,,,,,,,,,,166.0,,,,,,,,,,,
2021_11995,Lisboa,,100,95.0,100,64.0,,62.0,,,,,,,,,,,,,,,,,,
2021_11996,Porto,,173,,181,184.0,,,,,180.0,,,143.0,,,,,,,,,,,,
2021_11997,Outro,165.0,128,,152,,,,,,,,,,140.0,,,,,,,,,,,
2021_11998,Lisboa,,175,,191,175.0,169.0,180.0,,,,,,,,,,,,,,,,,,
2021_11999,Outro,,157,,158,147.0,143.0,140.0,,,,,,,,,,,,,,,,,,
2021_12000,Outro,,135,,133,,,,137.0,,,116.0,,,,,,,,,,,,,,
2021_12001,Coimbra,,142,,150,136.0,,,,,130.0,,,115.0,,,,,,,,,,,,
2021_12002,Lisboa,,157,,174,,,,165.0,,,158.0,,,,,,,,,,,,,,
2021_12003,Faro,,102,,105,73.0,101.0,79.0,,,,,,,,,,,,,,,,,,
2021_12004,Setúbal,,149,,171,176.0,,,,,165.0,,,135.0,,,,,,,,,,,,
2021_12005,Lisboa,,131,,147,143.0,139.0,112.0,,,,,,,,,,,,,,,,,,
2021_12006,Braga,,116,,131,,,,134.0,,,,107.0,,,,,,,,,,,,,
2021_12007,Lisboa,,160,,189,177.0,180.0,190.0,,,,,,,,,,,,,,,,,,
2021_12008,Lisboa,,131,,137,111.0,134.0,102.0,,,,,,,,,,,,,,,,,,
2021_12009,Lisboa,160.0,129,172.0,169,,,,,,,,,,,,,,,,,,,,,
2021_12010,Leiria,,170,,172,,,,161.0,,,150.0,,,,,,,,,,,,,,
2021_12011,Outro,,166,,181,,,,154.0,,,,,156.0,,,,,,,,,,,,
2021_12012,Faro,,150,,156,142.0,150.0,121.0,,,,,,,,,,,,,,,,,,
2021_12013,Lisboa,,127,,146,,,,138.0,,,130.0,,,,,,,,,,,,,,
2021_12014,Lisboa,,160,,171,157.0,160.0,145.0,,,,,,,,,,,,,,,,,,
2021_12015,Porto,,135,,145,,,,139.0,,,,126.0,,,,,,,,,,,,,
2021_12016,Lisboa,,141,,155,145.0,,,,,141.0,,,120.0,,,,,,,,,,,,
2021_12017,Porto,,99,,107,85.0,98.0,78.0,,,,,,,,,,,,,,,,,,
2021_12018,Lisboa,,136,176.0,163,152.0,,117.0,,,,,,,,,,,,,,,,,,
2021_12019,Porto,,160,,160,153.0,148.0,130.0,,,,,,,,,,,,,,,,,,
2021_12020,Setúbal,,181,,198,,,,198.0,,,175.0,,,,,,,,,,,,,,
2021_12021,Lisboa,,173,,188,,,,166.0,177.0,,,,,,,,,,,,,,,,
2021_12022,Braga,,149,,151,148.0,,,,,140.0,,,126.0,,,,,139.0,,,,,,,
2021_12023,Lisboa,,179,185.0,193,185.0,,138.0,,,,,,,,,,,,,,,,,,
2021_12024,Lisboa,,105,,111,77.0,,,,,120.0,,,97.0,,,,,,,,,,,,
2021_12025,Lisboa,,121,,134,,,,138.0,,,,97.0,,,,,,,,,,,,,
2021_12026,Outro,,167,,193,,,,198.0,,,170.0,,,,,,,,,,,,,,
2021_12027,Faro,,141,,148,,,,136.0,,,132.0,,,,,,,,,,,,,,
2021_12028,Lisboa,,112,,100,57.0,89.0,73.0,,,,,,,,,,,,,,,,,,
2021_12029,Lisboa,,97,,100,66.0,75.0,60.0,,,,,,,,,,,,,,,,,,
2021_12030,Lisboa,,155,,174,158.0,,,,,170.0,161.0,,,,,,,,,,,,,,
2021_12031,Outro,,109,,119,,,,111.0,,,,95.0,,,,,,,,,,,,,
2021_12032,Braga,,167,,174,168.0,,,,,163.0,171.0,,,,,,,,,,,,,,
2021_12033,Lisboa,,152,,173,,,,162.0,,,151.0,,,,,,,,,,,,,,
2021_12034,Coimbra,,133,,149,151.0,146.0,130.0,,,,,,,,,,,,,,,,,,
2021_12035,Setúbal,,121,,115,115.0,106.0,76.0,,,,,,,,,,,,,,,,,,
2021_12036,Braga,,147,,153,,,,146.0,,,125.0,,,,,,,,,,,,,,
2021_12037,Coimbra,,116,,102,70.0,99.0,81.0,,,,,,,,,,,,,,,,,,
2021_12038,Outro,,99,,133,,,,100.0,139.0,,,,,,,,,,,,,,,,
2021_12039,Braga,,145,,150,148.0,141.0,117.0,,,,,,,,,,,,,,,,,,
2021_12040,Braga,,160,,168,,,,161.0,,,148.0,,,,,,,,,,,,,,
2021_12041,Lisboa,,130,,138,125.0,140.0,102.0,,,,,,,,,,,,,,,,,,
2021_12042,Leiria,,125,,137,,,,127.0,,,,,107.0,,,,,,,,,,,,
2021_12043,Setúbal,,159,,181,178.0,160.0,159.0,,,,,,,,,,,,,,,,,,
2021_12044,Lisboa,,116,,119,103.0,117.0,68.0,,,,,,,,,,,,,,,,,,
2021_12045,Outro,,164,,183,,,,159.0,178.0,,,,,,,,,,,,,,,,
2021_12046,Outro,,147,,157,140.0,,,,,156.0,147.0,,,,,,,,,,,,,,
2021_12047,Setúbal,,158,,169,,,,156.0,,,,,147.0,,,,,,,,,,,,
2021_12048,Porto,,149,,175,,,,165.0,,,149.0,,,,,,,,,,,,,,
2021_12049,Lisboa,,170,,181,176.0,,,,,171.0,156.0,,,,,,,,,,,,,,
2021_12050,Porto,138.0,117,138.0,147,,,,,,,,,,,,,,,,,,,,,
2021_12051,Braga,183.0,175,199.0,194,,,,,,,,,,,,,,,,,,,,,
2021_12052,Porto,142.0,126,,149,,,,,,,,,,129.0,,,,,,,,,,,
2021_12053,Lisboa,,172,,180,172.0,180.0,148.0,,,,,,,,,,,,,,,,,,
2021_12054,Lisboa,157.0,135,141.0,161,,,,,,,,,,,,,,,,,,,,,
2021_12055,Setúbal,175.0,150,,170,,,,,,,,,,155.0,,,,,,,,,,,
2021_12056,Braga,,183,,190,,,,167.0,,,177.0,,,,,,,,,,,,,,
2021_12057,Setúbal,,81,,100,38.0,78.0,63.0,,,,,,,,,,,,,,,,,,
2021_12058,Leiria,,145,,158,,,,159.0,,,,,126.0,,,,,,,,,,,,
2021_12059,Porto,,104,,125,,,,124.0,,,98.0,,,,,,,,,,,,,,
2021_12060,Outro,,118,,107,87.0,120.0,84.0,,,,,,,,,,,,,,,,,,
2021_12061,Outro,,143,,139,123.0,125.0,122.0,,,,,,,,,,,,,,,,,,
2021_12062,Lisboa,163.0,148,,168,,,,,,,,,,141.0,,,,,,,,,,,
2021_12063,Outro,,137,,149,,,,144.0,,,,120.0,,,,,,,,,,,,,
2021_12064,Lisboa,,125,,136,130.0,135.0,93.0,,,,,,,,,,,,,,,,,,
2021_12065,Braga,,158,,171,160.0,,,,,165.0,,,132.0,,,,,,,,,,,,
2021_12066,Lisboa,,106,,100,70.0,94.0,66.0,,,,,,,,,,,,,,,,,,
2021_12067,Lisboa,179.0,156,186.0,192,,,,,,,,,,,,,,,,,,,,,
2021_12068,Lisboa,,157,,191,166.0,184.0,188.0,,,,,,,,,,,,,,,,,,
2021_12069,Lisboa,,105,,100,54.0,107.0,57.0,,,,,,,,,,,,,,,,,,
2021_12070,Braga,,105,,118,,,,119.0,,,,,100.0,,,,,,,,,,,,
2021_12071,Porto,,165,,189,,,,161.0,185.0,,,,,,,,,,,,,,,,
2021_12072,Lisboa,,149,,168,,,,154.0,,,,146.0,,,,,,,,,,,,,
2021_12073,Lisboa,,106,,100,56.0,95.0,55.0,,,,,,,,,,,,,,,,,,
2021_12074,Coimbra,,111,,129,99.0,,,,,130.0,105.0,,,,,,,,,,,,,,
2021_12075,Leiria,,126,118.0,124,111.0,,90.0,,,,,,,,,,,,,,,,,,
2021_12076,Braga,,140,,143,135.0,,,,,142.0,,,121.0,,,,,,,,,,,,
2021_12077,Lisboa,,132,145.0,139,125.0,,96.0,,,,,,,,,,,,,,,,,,
2021_12078,Setúbal,,101,,104,69.0,103.0,60.0,,,,,,,,,,,,,,,,,,
2021_12079,Setúbal,136.0,107,,135,,,,,,,,,,126.0,,,,,,,,,,,
2021_12080,Outro,,189,,182,160.0,166.0,162.0,,,,,,,,,,,,,,,,,,
2021_12081,Setúbal,,101,,130,,,,122.0,,,95.0,,,,,,,,,,,,,161.0,
2021_12082,Outro,,162,,184,184.0,159.0,188.0,,,,,,,,,,,,,,,,,,
2021_12083,Lisboa,,145,,155,155.0,140.0,124.0,,,,,,,,,,,,,,,,,,
2021_12084,Lisboa,169.0,151,199.0,185,,,,,,,,,,,,,,,,,,,,,
2021_12085,Setúbal,,184,,184,,,,157.0,,,,150.0,,,,,,,,,,,,,
2021_12086,Lisboa,,146,,167,157.0,156.0,144.0,,,,,,,,,,,,,,,,,,
2021_12087,Outro,,129,,130,122.0,,,,,120.0,,,110.0,,,,,,,,,,,,
2021_12088,Outro,161.0,138,,155,,,,,,,,,,150.0,,,,,,,,,,,
2021_12089,Setúbal,,169,,190,196.0,179.0,158.0,,,,,,,,,,,,,,,,,,
2021_12090,Porto,82.0,83,,100,,,,,,,,,,55.0,,,,,,,,,,,
2021_12091,Coimbra,,140,,168,,,,155.0,179.0,,,,,,,,,,,,,,,,
2021_12092,Outro,,133,,153,132.0,137.0,135.0,,,,,,,,,,,,,,,,,,
2021_12093,Lisboa,,139,,135,105.0,123.0,105.0,,,,,,,,,,,,,,,,,,
2021_12094,Lisboa,177.0,166,,174,,,,,,,,,,156.0,,,,,,,,,,,
2021_12095,Lisboa,,198,,200,191.0,,,,,185.0,200.0,,,,,,,,,,,,,,
2021_12096,Outro,,140,,150,,,,149.0,,,,131.0,,,,,,,,,,,,,
2021_12097,Leiria,,110,,113,81.0,101.0,92.0,,,,,,,,,,,,,,,,,,
2021_12098,Porto,,198,199.0,200,200.0,,190.0,,,,,,,,,,,,,,,,,,
2021_12099,Outro,,175,,200,195.0,167.0,200.0,,,,,,,,,,,,,,,,,,
2021_12100,Braga,,155,,178,,,,153.0,183.0,,,,,,,,,,,,,,,,
2021_12101,Coimbra,,156,,185,179.0,171.0,180.0,,,,,,,,,,,,,,,,,,
2021_12102,Outro,,166,,168,,,,162.0,,,,,135.0,,,,,,,,,,,,
2021_12103,Lisboa,,198,,199,,,,178.0,200.0,,,,,166.0,,,,,,,,,,,
2021_12104,Porto,,149,,154,155.0,,,,,144.0,,,118.0,,,,,,,,,,,,
2021_12105,Porto,,129,,139,,,,132.0,,,,,108.0,,,,,,,,,,,,
2021_12106,Porto,,117,,128,125.0,123.0,89.0,,,,,,,,,,,,,,,,,,
2021_12107,Outro,,158,,169,,,,154.0,,,152.0,,,,,,,,,,,,,,
2021_12108,Outro,,140,,148,158.0,147.0,114.0,,,,,,,,,,,,,,,,,,
2021_12109,Outro,,152,,159,158.0,145.0,125.0,,,,,,,,,,,,,,,,,,
2021_12110,Lisboa,,172,,192,,,,188.0,184.0,,,,,,,,,,,,,,,,
2021_12111,Coimbra,,135,,135,,,,135.0,,,,118.0,,,,,,,,,,,,,
2021_12112,Outro,,146,,163,177.0,,,,,155.0,139.0,,,,,,,,,,,,,,
2021_12113,Porto,,148,,166,,,,146.0,168.0,,,,,,,,,,,,,,,,
2021_12114,Coimbra,,142,,149,138.0,148.0,118.0,,,,,,,,,,,,,,,,,,
2021_12115,Porto,,125,,142,119.0,136.0,113.0,,,,,,,,,,,,,,,,,,
2021_12116,Outro,,106,,108,83.0,108.0,78.0,,,,,,,,,,,,,,,,,,
2021_12117,Outro,135.0,110,,139,,,,,,,,,,126.0,,,,,,,,,,,
2021_12118,Outro,,139,,152,,,,146.0,,,129.0,,,,,,,,,,,,,,
2021_12119,Outro,,85,,100,68.0,,,,,79.0,55.0,,,,,,,,,,,,,,
2021_12120,Braga,,122,151.0,142,125.0,,114.0,,,,,,,,,,,,,,,,,,
2021_12121,Coimbra,,156,,179,,,,185.0,,,165.0,,,,,,,,,,,,,,
2021_12122,Setúbal,,165,,200,197.0,183.0,200.0,,,,,,,,,,,,,,,,,,
2021_12123,Outro,,186,,195,,178.0,,159.0,200.0,,,,,,,,,,,,,,,,
2021_12124,Outro,,150,,157,145.0,,,,,155.0,,,127.0,,,,,,,,,,,,
2021_12125,Coimbra,,78,,100,35.0,68.0,45.0,,,,,,,,,,,,,,,,,,
2021_12126,Outro,,145,,154,157.0,,,,,140.0,,,117.0,,,,,,,,,,,,
2021_12127,Lisboa,,116,,151,,,,122.0,157.0,,,,,,,,,,,,,,,,
2021_12128,Lisboa,125.0,117,112.0,128,,,,,,,,,,,,,,,,,,,,,
2021_12129,Lisboa,,155,186.0,178,159.0,,160.0,,,,,,,,,,,,,,,,,,
2021_12130,Leiria,,170,,191,190.0,162.0,147.0,,,,,,,,,,,,,,,,,,
2021_12131,Outro,,192,,179,186.0,,,,,183.0,,,142.0,,,,,,,,,,,,
2021_12132,Porto,,166,,171,171.0,,,,,162.0,,,139.0,,,,,,,,,,,,
2021_12133,Outro,,170,198.0,200,200.0,,200.0,,,,,,,,,,,,,,,,,,
2021_12134,Lisboa,,82,,100,64.0,84.0,52.0,,,,,,,,,,,,,,,,,,
2021_12135,Setúbal,,139,,146,135.0,141.0,124.0,,,,,,,,,,,,,,,,,,
2021_12136,Lisboa,180.0,163,200.0,191,,,,,,,,,,,,,,,,,,,,,
2021_12137,Braga,,165,,181,171.0,156.0,144.0,,,,,,,,,,,,,,,,,,
2021_12138,Porto,,138,,157,155.0,159.0,122.0,,,,,,,,,,,,,,,,,,
2021_12139,Leiria,,155,,149,146.0,,,,,158.0,,,129.0,,,,,,,,,,,,
2021_12140,Coimbra,,102,,102,88.0,95.0,76.0,,,,,,,,,,,,,,,,,,
2021_12141,Lisboa,,148,,158,158.0,,,,,155.0,,,126.0,,,,,,,,,,,,
2021_12142,Lisboa,,116,,142,,,,131.0,,,,,105.0,,,,,,,,,,,,
2021_12143,Braga,,126,131.0,120,98.0,,95.0,,,,,,,,,,,,,,,,,,
2021_12144,Porto,,172,,175,176.0,164.0,160.0,,,,,,,,,,,,,,,,,,
2021_12145,Outro,,143,,143,133.0,135.0,116.0,,,,,,,,,,,,,,,,,,
2021_12146,Lisboa,,130,,153,141.0,132.0,122.0,,,,,,,,,,,,,,,,,,
2021_12147,Outro,,126,,135,,,,132.0,,,,112.0,,,,,,,,,,,,,
2021_12148,Lisboa,,128,,138,119.0,,,,,147.0,,,119.0,,,,,,,,,,,,
2021_12149,Lisboa,,167,199.0,192,185.0,,155.0,,,,,,,,,,,,,,,,,,
2021_12150,Porto,,120,,130,113.0,116.0,103.0,,,,,,,,,,,,,,,,,,
2021_12151,Porto,,145,,160,140.0,146.0,123.0,,,,,,,,,,,,,,,,,,
2021_12152,Outro,,124,,121,103.0,117.0,89.0,,,,,,,,,,,,,,,,,,
2021_12153,Outro,,119,,135,,,,129.0,,,96.0,,,,,,,,,,,,,,
2021_12154,Braga,,165,,186,,,,169.0,196.0,,,,,,,,,,,,,,,,
2021_12155,Lisboa,,141,,152,135.0,146.0,108.0,,,,,,,,,,,,,,,,,,
2021_12156,Leiria,,198,,192,193.0,168.0,177.0,,,,,,,,,,,,,,,,,,
2021_12157,Outro,,101,,108,75.0,113.0,83.0,,,,,100.0,,,,,,,,,,,,,
2021_12158,Outro,,168,,177,,,,156.0,,,151.0,,,,,,,,,,,,,,
2021_12159,Coimbra,,151,,161,146.0,155.0,141.0,,,,,,,,,,,,,,,,,,
2021_12160,Leiria,,198,,200,200.0,177.0,162.0,,,,,,,,,,,,,,,,,,
2021_12161,Coimbra,,141,174.0,148,122.0,,121.0,,,,,,,,,,,,,,,,,,
2021_12162,Outro,,186,,200,,,,198.0,,,200.0,,,,,,,,,,,,,,
2021_12163,Setúbal,,166,200.0,194,187.0,,166.0,,,,,,,,,,,,,,,,,,
2021_12164,Porto,,97,,101,79.0,95.0,80.0,,,,,,,,,,,,,,,,,,
2021_12165,Setúbal,95.0,87,,102,,,,,,,,,,81.0,,,,,,,,,,,
2021_12166,Setúbal,111.0,105,,119,,,,,,,,,,117.0,,,,,,,,,,,
2021_12167,Setúbal,,198,,198,,,,170.0,,,,175.0,,,,,,,,,,,,,
2021_12168,Braga,107.0,106,,118,,,,,,,,,,101.0,,,,,,,,,,,
2021_12169,Porto,,161,194.0,176,172.0,,123.0,,,,,,,,,,,,,,,,,,
2021_12170,Porto,,97,,107,77.0,110.0,80.0,,,,,,,,,,,,,,,,,,
2021_12171,Faro,,168,,198,180.0,186.0,200.0,,,,,,,,,,,,,,,,,,
2021_12172,Braga,,128,,131,110.0,112.0,93.0,,,,,,,,,,,,,,,,,,
2021_12173,Leiria,,170,,187,185.0,195.0,158.0,,,,,,,,,,,,,,,,,,
2021_12174,Outro,,121,,144,,,,128.0,154.0,119.0,,,,,,,,,,,,,,,
2021_12175,Braga,,140,,152,139.0,143.0,108.0,,,,,,,,,,,,,,,,,,
2021_12176,Lisboa,,170,,187,165.0,,,,,166.0,170.0,,,,,,,,,,,,,,
2021_12177,Leiria,,171,,196,189.0,,,,,179.0,186.0,,,,,,,,,,,,,,
2021_12178,Outro,140.0,132,,153,,,,,,,,,,130.0,,,,,,,,,,,
2021_12179,Porto,,120,,144,,,,145.0,,,111.0,,,,,,,,,,,,,,
2021_12180,Coimbra,,162,,169,155.0,167.0,138.0,,,,,,,,,,,,,,,,,,
2021_12181,Porto,,115,,133,,,,137.0,,,,,114.0,,,,,,,,,,,,
2021_12182,Outro,,135,,154,129.0,134.0,106.0,,,,,,,,,,,,,,,186.0,,,
2021_12183,Porto,,126,,137,,,,135.0,,,,127.0,,,,,,,,,,,,,
2021_12184,Lisboa,,141,,158,,,,139.0,170.0,,,,,,,,,,,,,,,,
2021_12185,Braga,,108,,124,96.0,,,,,124.0,,,98.0,,,,,,,,,,,,
2021_12186,Outro,,153,,178,,,,154.0,180.0,,,,,,,,,,,,,,,,
2021_12187,Porto,,166,,188,166.0,,,,,200.0,,,139.0,,,,,,,,,,,,
2021_12188,Braga,,141,,166,,,,145.0,175.0,,,,,,,,,,,,,,,,
2021_12189,Lisboa,,141,180.0,153,147.0,,126.0,,,,,,,,,,,,,,,,,,
2021_12190,Outro,,150,,154,,,,141.0,,,,,126.0,,,,,,,,,,,,
2021_12191,Outro,,112,96.0,100,76.0,,70.0,,,,,,,,,,,,,,,,,,
2021_12192,Outro,,152,,168,180.0,161.0,132.0,,,,,,,,,,,,,,,,,,
2021_12193,Lisboa,,142,,168,,,,143.0,176.0,,,,,,,,,,,,,,,,
2021_12194,Outro,152.0,137,146.0,155,,,,,,,106.0,,,,,,,,,,,,,,
2021_12195,Lisboa,,101,,100,77.0,95.0,70.0,,,,,,,,,,,,,,,,,,
2021_12196,Braga,,180,200.0,193,197.0,,153.0,,,,,,,,,,,,,,,,,,
2021_12197,Outro,182.0,155,196.0,194,,,,,,,,,,,,,,,,,,,,,
2021_12198,Porto,,142,,164,156.0,,,,,146.0,153.0,,,,,,,,,,,,,,
2021_12199,Porto,,132,,143,,,,129.0,,,,103.0,,,,,,,,,,,,,
2021_12200,Braga,,161,,163,,,,145.0,,,,128.0,,,,,,,,,,,,,
2021_12201,Lisboa,,109,,130,,,,120.0,,,,,98.0,,,,,,,,,,,,
2021_12202,Outro,,132,,132,115.0,,,,,119.0,,,112.0,,,,,,,,,,,,
2021_12203,Braga,,140,135.0,149,131.0,,117.0,,,,,,,,,,,,,,,,,,
2021_12204,Outro,,156,199.0,177,167.0,,158.0,,,,,,,,,,,,,,,,,,
2021_12205,Setúbal,,165,,185,194.0,158.0,161.0,,,,,,,,,,,,,,,,,,
2021_12206,Outro,,175,,200,200.0,195.0,200.0,,,,,,,,,,,,,,,,,,
2021_12207,Porto,158.0,147,,160,,,,,,,,,,149.0,,,,,,,,,,,
2021_12208,Outro,,138,,134,109.0,127.0,102.0,,,,,,,,,,,,,,,,,,
2021_12209,Outro,,118,,146,,,,134.0,149.0,,,,,,,,,,,,,,,,
2021_12210,Porto,,125,,140,115.0,,,,,126.0,107.0,,,,,,,,,,,,,,
2021_12211,Porto,170.0,165,,186,,,,,,,,,,174.0,,,,,,,,,,,
2021_12212,Porto,,198,200.0,200,168.0,,196.0,,,,,,,,,,,,,,,,,,
2021_12213,Braga,,157,,173,170.0,160.0,154.0,,,,,,,,,,,,,,,,,,
2021_12214,Faro,,142,,160,,,,159.0,,,,,126.0,,,,,,,,,,,,
2021_12215,Lisboa,,170,,176,172.0,165.0,142.0,,,,,,,,,,,,,,,,,,
2021_12216,Lisboa,146.0,129,,153,,,,,,,,,,121.0,,,,,,,,,,184.0,
2021_12217,Lisboa,,131,,145,,,,139.0,,,,,122.0,,,,,,,,,,,,
2021_12218,Porto,,125,,131,125.0,123.0,116.0,,,,,,,,,,,,,,,,,,
2021_12219,Lisboa,,78,,100,17.0,73.0,52.0,,,,,,,56.0,,,,,,,,,,,
2021_12220,Lisboa,,131,,152,,,,132.0,169.0,,,,,,,,,,,,,,,,
2021_12221,Porto,154.0,128,,156,,,,,,,,,,145.0,,,,,,,,,,,
2021_12222,Outro,,109,111.0,120,73.0,,77.0,,,,,,,,,,,,,,,,139.0,,
2021_12223,Outro,,165,,164,140.0,145.0,136.0,,,,,,,,,,,,,,,,,,
2021_12224,Lisboa,,152,178.0,173,162.0,,128.0,,,,,,,,,,,,,,,,,,
2021_12225,Setúbal,,163,,174,155.0,168.0,138.0,,,,,,,,,,,,,,,,,,
2021_12226,Outro,,150,,158,147.0,,,,,151.0,,,125.0,,,,,,,,,,,,
2021_12227,Braga,,198,,200,200.0,195.0,200.0,,,,,,,,,,,,,,,,,,
2021_12228,Porto,,106,,125,,,,123.0,,,,103.0,,,,,,,,,,,,,
2021_12229,Coimbra,,118,,102,68.0,,,,,103.0,77.0,,,,,,,,,,,,,,
2021_12230,Lisboa,,161,,162,,,,154.0,,,,,132.0,,,,,,,,,,,,
2021_12231,Braga,,90,,100,70.0,97.0,71.0,,,,,,,,,,,,,,,,,,
2021_12232,Faro,,120,,132,103.0,,,,,127.0,,,116.0,,,,,,,,,,,,
2021_12233,Outro,,182,,196,,,,179.0,,,,193.0,,,,,,,,,,,,,
2021_12234,Outro,,171,,186,178.0,,,,,181.0,182.0,,,,,,,,,,,,,,
2021_12235,Lisboa,,158,,174,,,,166.0,,,157.0,,,,,,,,,,,,,,
2021_12236,Braga,,128,,145,140.0,125.0,118.0,,,,,,,,,,,,,,,,,,
2021_12237,Porto,,147,,152,147.0,135.0,122.0,,,,,,,,,,,,,,,,,,
2021_12238,Setúbal,182.0,151,195.0,192,,,,,,,,,,,,,,,,,,,,,
2021_12239,Lisboa,,109,,133,,,,122.0,150.0,,,,,,,,,,,,,,,,
2021_12240,Braga,,139,,160,,,,150.0,,,,134.0,,,,,,,,,,,,,
2021_12241,Outro,,145,,158,,,,138.0,,,,139.0,,,,,,,,,,,,,
2021_12242,Braga,,198,,198,177.0,180.0,170.0,,,,,,,,,,,,,,,,,,
2021_12243,Outro,,157,182.0,171,144.0,,137.0,,,,,,,,,,,,,,,,,,
2021_12244,Lisboa,,150,,164,138.0,,,,,156.0,129.0,,,,,,,,,,,,,,
2021_12245,Porto,,177,,179,175.0,,,,,156.0,155.0,,,,,,,,,,,,,,
2021_12246,Porto,,153,171.0,173,170.0,,145.0,,,,,,,,,,,,,,,,,,
2021_12247,Lisboa,,125,,116,95.0,122.0,80.0,,,,,,,,,,,,,,,,,,
2021_12248,Outro,,165,199.0,192,200.0,,148.0,,,,,,,,,,,,,,,,,,
2021_12249,Braga,,126,,147,,,,136.0,,,,,120.0,,,,,,,,,,,,
2021_12250,Lisboa,,145,,158,150.0,136.0,119.0,,,,,,,,,,,,,,,182.0,,,
2021_12251,Braga,,182,,200,200.0,180.0,200.0,,,,,,,,,,,,,,,,,,
2021_12252,Lisboa,,149,,170,,,,150.0,,,182.0,,,,,,,,,,,,,,
2021_12253,Lisboa,,140,,163,140.0,,,,,165.0,,,135.0,,,,,,,,,,,,
2021_12254,Braga,,121,,115,101.0,116.0,76.0,,,,,,,,,,,,,,,,,,
2021_12255,Outro,,115,,136,,,,126.0,157.0,,,,,,,,,,,,,,,,
2021_12256,Braga,,98,,100,51.0,,,,,107.0,,,89.0,,,,,,,,,,,,
2021_12257,Outro,,155,175.0,177,159.0,,137.0,,,,,,,,,,,,,,,,,,
2021_12258,Porto,,137,,140,127.0,149.0,105.0,,,,,,,,,,,,,,,,,,
2021_12259,Lisboa,,143,,148,,,,156.0,,,,,118.0,,,,,,,,,,,,
2021_12260,Setúbal,,145,,164,,,,164.0,,,,141.0,,,,,,,,,,,,,
2021_12261,Braga,,142,,165,,,,136.0,162.0,,,,,,,,,,,,,,,,
2021_12262,Outro,,168,,183,180.0,162.0,147.0,,,,,,,,,,,,,,,,,,
2021_12263,Outro,,97,,100,58.0,108.0,79.0,,,,,,,,,,,,,,,,,,
2021_12264,Faro,,106,,101,59.0,,,,,99.0,,,83.0,,,,,,,,,,,,
2021_12265,Lisboa,,152,,177,174.0,152.0,168.0,,,,,,,,,,,,,,,,,,
2021_12266,Porto,140.0,123,,143,,,,,,,,,,133.0,,,,,,,,,,,
2021_12267,Outro,,134,,149,145.0,152.0,110.0,,,,,,,,,,,,,,,,,,
2021_12268,Lisboa,,119,,118,99.0,114.0,100.0,,,,,,,,,,,,,,,,,,
2021_12269,Porto,,167,,173,,,,155.0,,,,152.0,,,,,,,,,,,,,
2021_12270,Braga,,116,,115,92.0,112.0,85.0,,,,,,,,,,,,,,,,,,
2021_12271,Lisboa,,198,,200,191.0,,,,,192.0,166.0,,,,,,,,,,,,,,
2021_12272,Lisboa,,140,,165,,,,158.0,,,,149.0,,,,,,,,,,,,,
2021_12273,Porto,,157,,163,146.0,159.0,135.0,,,,,,,,,,,,,,,,,,
2021_12274,Lisboa,,111,,105,58.0,100.0,73.0,,,,,,,,,,,,,,,,,,
