Aluno_ID,Distrito,Historia_A,Portugues,Geografia_A,Nota_Interna,Matematica_A,Fisica_Quimica_A,Biologia_Geologia,Geometria_Descritiva_A,Economia_A,Desenho_A,Filosofia,HCA,MACS,Literatura_Portuguesa,Ingles,Historia_B,Matematica_B,Latim_A,Alemao,Espanhol_Iniciacao,Portugues_L2,Portugues_LNM,Frances
2018_3097,Setúbal,,117,,132,,,,118.0,,138.0,,,,,,,,,,,,,
2018_3098,Braga,,105,,123,100.0,118.0,97.0,,,,,,,,,,,,,,,,
2018_3099,Lisboa,,107,,121,101.0,120.0,116.0,,,,,,,,,,,,,,,,
2018_3100,Setúbal,,143,,162,157.0,129.0,,147.0,,,,,,,,,,,,,,,
2018_3101,Outro,,83,,100,60.0,67.0,69.0,,,,,,,,,,,,,,,,
2018_3102,Lisboa,76.0,95,116.0,112,,,,,,,,,,,,,,,,,,,
2018_3103,Lisboa,,77,96.0,100,35.0,,,,49.0,,,,,,,,,,,,,,
2018_3104,Lisboa,78.0,95,,110,,,,,,,,,,100.0,114.0,,,,,,,,
2018_3105,Outro,69.0,88,,109,,,,,,,,,,,120.0,,,,,,,,
2018_3106,Lisboa,,149,162.0,173,150.0,,,,187.0,,,,,,,,,,,,,,
2018_3107,Porto,,106,,120,105.0,97.0,106.0,,,,,,,,,,,,,,,,
2018_3108,Porto,,90,,100,62.0,75.0,85.0,,,,,,,,,,,,,,,,
2018_3109,Porto,,99,,103,68.0,79.0,95.0,,,,,,,,,,,,,,,,
2018_3110,Braga,,116,,122,96.0,119.0,111.0,,,,,,,,,,,,,,,,
2018_3111,Lisboa,,71,,100,72.0,67.0,,61.0,,,,,,,,,,,,,,,
2018_3112,Faro,74.0,85,108.0,100,,,,,,,,,,,,,,,,,,,
2018_3113,Lisboa,,70,,102,,,,,,120.0,,75.0,,,,,,,,,,,
2018_3114,Braga,85.0,85,106.0,103,,,,,,,,,,,,,,,,,,,
2018_3115,Faro,,100,,108,86.0,86.0,,76.0,,,,,,,,,,,,,,,
2018_3116,Lisboa,108.0,141,,149,,,,,,,,,148.0,,,,,,,,,,
2018_3117,Outro,148.0,135,,167,,,,,,,,,,,163.0,,,,,,,,
2018_3118,Braga,,126,,143,105.0,128.0,135.0,,,,,,,,,,,,,,,,
2018_3119,Faro,,122,,134,122.0,118.0,119.0,,,,,,,,,,,,,,,,
2018_3120,Porto,,127,,141,130.0,131.0,120.0,,,,,,,,,,,,,,,,
2018_3121,Braga,,126,,152,118.0,151.0,,155.0,,,,,,,,,,,,,,,
2018_3122,Braga,,126,,146,137.0,132.0,130.0,,,,,,,,,,,,,,,,
2018_3123,Porto,97.0,98,,120,,,,,,,,,,,134.0,,,,,,,,
2018_3124,Braga,,139,,152,131.0,146.0,,167.0,,,,,,,,,,,,,,,
2018_3125,Setúbal,,105,,109,103.0,,,,83.0,,,,98.0,,,,,,,,,,
2018_3126,Outro,117.0,109,,130,,,,,,,,,116.0,,,,,,,,,,
2018_3127,Setúbal,,88,,100,77.0,91.0,75.0,,,,,,,,,,,,,,,,
2018_3128,Setúbal,76.0,88,106.0,102,,,,,,,,,,,,,,,,,,,
2018_3129,Braga,,190,,200,174.0,186.0,,187.0,,,,,,,,,,,,,,,
2018_3130,Porto,,65,,100,,,,21.0,,78.0,,,,,,,,,,,,,
2018_3131,Leiria,,75,,100,36.0,52.0,,40.0,,,,,,,68.0,,,,,,,,
2018_3132,Braga,,116,,127,115.0,105.0,112.0,,,,,,,,,,,,,,,,
2018_3133,Porto,,146,,167,150.0,159.0,150.0,,,,,,,,,,,,,,,,
2018_3134,Lisboa,71.0,82,,100,,,,,,,,,,88.0,,,,,,,,,
2018_3135,Braga,,77,,100,42.0,65.0,66.0,,,,,,,,,,,,,,,,
2018_3136,Outro,,137,,163,135.0,156.0,157.0,,,,,,,,,,,,,,,,
2018_3137,Lisboa,137.0,190,166.0,181,,,,,,,,,,,,,,,,,,,
2018_3138,Outro,126.0,136,,157,,,,,,,,,,,161.0,,,,,,,,
2018_3139,Porto,99.0,111,122.0,125,,,,,,,,,,,,,,,,,,,
2018_3140,Lisboa,,126,,162,151.0,,,162.0,135.0,,,,132.0,,,,,,,,,,
2018_3141,Outro,,110,,123,120.0,111.0,111.0,,,,,,,,,,,,,,,,
2018_3142,Outro,126.0,130,,154,,,,,,,,,,,158.0,,,,,,,,
2018_3143,Braga,,81,,103,,,,,,118.0,,67.0,,,,,,,,,,,
2018_3144,Outro,,125,,129,102.0,120.0,116.0,,,,,,,,,,,,,,,,
2018_3145,Outro,166.0,167,190.0,195,,,,,,,,,,,,,,,,,,,
2018_3146,Porto,,138,132.0,144,118.0,,,,127.0,,,,,,,,,,,,,,
2018_3147,Porto,,150,,168,156.0,166.0,159.0,,,,,,,,,,,,,,,,
2018_3148,Porto,97.0,109,,120,,,,,,,,,105.0,,,,,,,,,,
2018_3149,Outro,,102,,100,79.0,85.0,,81.0,,,,,,,,,,,,,,,
2018_3150,Lisboa,106.0,106,,121,,,,,,,,,115.0,,,,,,,,,,
2018_3151,Outro,150.0,157,,162,,,,,,,,,,151.0,,,,,,,,,
2018_3152,Lisboa,,135,,159,,,,,,156.0,,131.0,,,,,,,,,,,
2018_3153,Outro,,161,,171,169.0,165.0,155.0,,,,,,,,,,,,,,,,
2018_3154,Coimbra,,116,,139,126.0,146.0,140.0,,,,,,,,,,,,,,,,
2018_3155,Outro,,126,,128,127.0,,,,130.0,,,,108.0,,,,,,,,,,
2018_3156,Braga,,108,,117,100.0,,,,105.0,,,,100.0,,,,,,,,,,
2018_3157,Lisboa,196.0,145,,188,,,,183.0,,,,,,,167.0,,,,,,,,
2018_3158,Lisboa,,190,,200,169.0,200.0,195.0,,,,,,,,,,,,,,,,
2018_3159,Outro,,97,,118,96.0,112.0,107.0,,,,,,,,,,,,,,,,
2018_3160,Coimbra,86.0,116,116.0,120,,,,,,,,,,,,,,,,,,,
2018_3161,Braga,,80,,100,59.0,66.0,85.0,,,,,,,,,,,,,,,,
2018_3162,Porto,69.0,73,88.0,100,,,,,,,,,,,,,,,,,,,
2018_3163,Lisboa,,96,,109,,,,,,118.0,,75.0,,,,,,,,,,,
2018_3164,Lisboa,98.0,110,,116,,,,,,,,,107.0,,,,,,,,,,
2018_3165,Porto,,105,,108,100.0,113.0,,87.0,,,,,,,,,,,,,,,
2018_3166,Lisboa,136.0,131,,159,,,,,,,,,,146.0,,,,,,,,,
2018_3167,Porto,146.0,135,,159,,,,,,,,,,,164.0,,,,,,,,
2018_3168,Braga,103.0,121,,120,,,,,,,,,111.0,,,,,,,,,,
2018_3169,Porto,92.0,95,,102,,,,,,,,,,95.0,,,,,,,,,
2018_3170,Lisboa,,135,,154,152.0,,,,154.0,,,,145.0,,,,,,,,,,
2018_3171,Lisboa,,122,,133,128.0,,,,104.0,,,,117.0,,,,,,,,,,
2018_3172,Lisboa,60.0,75,,100,,82.0,,,,,,,,,81.0,,,,,,,,
2018_3173,Lisboa,118.0,112,,128,,,,,,,,,,120.0,,,,,,,,,
2018_3174,Coimbra,,132,,165,,,,,,169.0,,127.0,,,,,,,,,,,
2018_3175,Lisboa,,95,,100,88.0,86.0,,103.0,,,,,,,,,60.0,,,,,,
2018_3176,Lisboa,67.0,85,,100,,,,,,,,,65.0,,,,,,,,,,
2018_3177,Lisboa,112.0,115,,126,,,,,,,,,105.0,,,,,,,,,,
2018_3178,Porto,,120,,157,141.0,142.0,,135.0,,,,,,,,,,,166.0,,,,
2018_3179,Setúbal,,155,,178,187.0,179.0,141.0,,,,,,,,,,,,,,,,
2018_3180,Porto,111.0,130,,143,,,,,,,,,,,157.0,,,,,,,,
2018_3181,Outro,,95,110.0,101,68.0,,,,87.0,,,,,,,,,,,,,,
2018_3182,Braga,,136,,154,156.0,160.0,146.0,,,,,,,,,,,,,,,,
2018_3183,Porto,,142,,151,140.0,148.0,136.0,,,,,,,,,,,,,,,,
2018_3184,Outro,138.0,138,,142,,,,,,,,,135.0,,,,,,,,,,
2018_3185,Lisboa,,145,,152,127.0,135.0,127.0,,,,,,,,,,,,,,,,
2018_3186,Lisboa,,180,,194,191.0,160.0,,190.0,,,,,,,,,,,,,,,
2018_3187,Faro,98.0,125,126.0,126,,,,,,,,,,,,,,,,,,,
2018_3188,Outro,,115,,150,,,,152.0,,146.0,,,,,,,,,,,,,
2018_3189,Lisboa,,147,,182,187.0,175.0,,,178.0,,,,137.0,,,,,,,,,,
2018_3190,Porto,,148,,184,,,,,,170.0,,166.0,,,,,,,,,,,
2018_3191,Braga,,132,,158,155.0,152.0,156.0,,,,,,,,,,,,,,,,
2018_3192,Setúbal,,125,,149,155.0,150.0,,132.0,,,,,,,,,,,,,,,
2018_3193,Lisboa,,129,,135,115.0,,,,136.0,,,,112.0,,,,,,,,,,
2018_3194,Braga,134.0,161,,180,,,,,,,,,199.0,,,,,,,,,,
2018_3195,Lisboa,,135,,175,191.0,156.0,,181.0,,,,,,,,,,,,,,,
2018_3196,Lisboa,125.0,135,132.0,149,,,,,,,,,,,,,,,,,,,
2018_3197,Outro,,95,,103,86.0,91.0,,81.0,,,,,,,,,,,,,,,
2018_3198,Setúbal,,102,,113,80.0,,100.0,,105.0,,,,98.0,,,,,,,,,,
2018_3199,Lisboa,,126,142.0,149,128.0,,,,156.0,,,,,,,,,,,,,,
2018_3200,Lisboa,,97,,111,100.0,88.0,108.0,,,,,,,,,,,,,,,,
2018_3201,Faro,,120,,124,105.0,112.0,104.0,,,,,,,,,,,,,,,,
2018_3202,Outro,,115,,124,97.0,110.0,110.0,,,,,,,,,,,,,,,,
2018_3203,Porto,196.0,190,,200,,,,,,,,,,,178.0,,,,,,,,
2018_3204,Faro,160.0,190,,181,,,,,,,,,,178.0,,,,,,,,,
2018_3205,Setúbal,,125,,149,130.0,158.0,140.0,,,,,,,,,,,,,,,,
2018_3206,Leiria,108.0,111,,134,,,,,,,,,,,145.0,,,,,,,,
2018_3207,Outro,,170,,195,200.0,200.0,160.0,,,,,,,,,,,,,,,,
2018_3208,Lisboa,,114,128.0,138,135.0,,,,108.0,,,,,,,,,,,,,,
2018_3209,Setúbal,,149,,188,150.0,179.0,,196.0,,,,,,,,,,,,,,,
2018_3210,Outro,,102,,101,75.0,95.0,87.0,,,,,,,,,,,,,,,,
2018_3211,Setúbal,,109,,117,105.0,98.0,,100.0,,,,,,,,,,,,,,,
2018_3212,Outro,71.0,78,,100,,,,,,123.0,,,,90.0,,,,,,,,,
2018_3213,Lisboa,,87,,100,70.0,90.0,87.0,,,,,,,,,,,,,,,,
2018_3214,Lisboa,96.0,102,,119,,,,,,,,,103.0,,,,,,,,,,
2018_3215,Braga,,139,,185,183.0,,,,186.0,,,,186.0,,,,,,,,,,
2018_3216,Lisboa,,96,,106,,,,,,115.0,,72.0,,,,,,,,,,,
2018_3217,Outro,,106,,122,109.0,107.0,119.0,,,,,,,,,,,,,,,,
2018_3218,Braga,176.0,190,,195,,,,,,,,,199.0,,,,,,,,,,
2018_3219,Coimbra,87.0,115,,128,,,,,,,,,,,133.0,,,,,,,,
2018_3220,Porto,,110,,145,,,,130.0,,151.0,,,,,,,,,,,,,
2018_3221,Lisboa,,117,,113,105.0,96.0,,85.0,,,,,,,,,,,,,,,
2018_3222,Braga,,135,,152,147.0,128.0,,180.0,,,,,,,,,,,,,,,
2018_3223,Outro,84.0,96,,111,,,,,,,,,,,118.0,,,,,,,,
2018_3224,Lisboa,,100,116.0,112,92.0,,,,105.0,,,,,,,,,,,,,,
2018_3225,Porto,,145,,188,200.0,162.0,,200.0,,,,,,,,,,,,,,,
2018_3226,Outro,90.0,118,,115,,,,,,,,,,118.0,,,,,,,,,
2018_3227,Lisboa,196.0,148,,191,,,,200.0,,,,,173.0,,,,,,,,,,
2018_3228,Porto,,115,,145,145.0,122.0,,155.0,,,,,,,,,,,,,,,
2018_3229,Outro,110.0,136,,138,,,,,,,,,127.0,,,,,,,,,,
2018_3230,Braga,196.0,150,,194,,,,,,,,,,,185.0,,,,,,,,
2018_3231,Lisboa,,97,,111,95.0,98.0,106.0,,,,,,,,,,,,,,,,
2018_3232,Braga,,137,,160,165.0,149.0,133.0,,,,,,,,,,,,,,,,
2018_3233,Faro,116.0,141,130.0,147,,,,,,,,,,,,,,,,,,,
2018_3234,Outro,,112,120.0,117,99.0,,,,111.0,,,,,,,,,,,,,,
2018_3235,Outro,,100,,101,100.0,87.0,,83.0,,,,,,,,,,,,,,,
2018_3236,Porto,,131,138.0,156,138.0,,,,151.0,,,,,,,,,,,,,,
2018_3237,Outro,98.0,98,116.0,114,,,,,,,,,,,,,,,,,,,
2018_3238,Lisboa,104.0,102,126.0,123,,,,,,,,,,,,,,,,,,,
2018_3239,Lisboa,,169,,168,176.0,142.0,139.0,,,,,,,,,,,,,,,,
2018_3240,Outro,,159,,196,200.0,173.0,195.0,,,,,,,,,,,,,,,,
2018_3241,Lisboa,,81,,100,59.0,65.0,74.0,,,,,,,,,,,,,,,,
2018_3242,Porto,145.0,126,,156,,,,,,,,,142.0,,,,,,,,,,
2018_3243,Setúbal,,120,138.0,148,145.0,,,,140.0,,,,,,,,,,,,,,
2018_3244,Lisboa,,145,190.0,198,181.0,,,,200.0,,,,,,,,,,,,,,
2018_3245,Lisboa,,100,,115,,,,79.0,,120.0,,,,,,,,,,,,,
2018_3246,Porto,108.0,127,132.0,127,,,,,,,,,,,,,,,,,,,
2018_3247,Outro,,70,84.0,100,61.0,,,,75.0,,,,,,,,,,,,,,
2018_3248,Braga,108.0,110,,140,,,,,,,,,,,153.0,,,,,,,,133.0
2018_3249,Braga,,129,130.0,141,125.0,,,,115.0,,,,,,,,,,,,,,
2018_3250,Setúbal,,128,132.0,146,155.0,,,,130.0,,,,,,,,,,,,,,
2018_3251,Outro,176.0,190,,198,,,,,,,,,,190.0,,,,,,,,,
2018_3252,Braga,,109,,125,108.0,,,,136.0,,,,115.0,,,,,,,,,,
2018_3253,Setúbal,156.0,142,,157,,,,,,,,,,131.0,,,,,,,,,
2018_3254,Lisboa,,85,,100,68.0,85.0,90.0,,,,,,,,,,,,,,,,
2018_3255,Porto,89.0,105,,105,,,,,,,,,87.0,,,,,,,,,,
2018_3256,Faro,,155,,179,158.0,150.0,,196.0,,,,,,,,,,,,,,,
2018_3257,Lisboa,,125,,157,158.0,131.0,,145.0,,,,,,,,,,,,,,,
2018_3258,Porto,138.0,152,152.0,162,,,,,,,,,,,,,,,,,,,
2018_3259,Porto,83.0,78,,100,,,,,,,,,,95.0,,,,,,,,,
2018_3260,Lisboa,190.0,158,190.0,194,,,,,,,,,,,,,,,,,,,
2018_3261,Lisboa,,91,,109,82.0,90.0,96.0,,,,,,,,,,,,,,,,
2018_3262,Braga,,101,112.0,112,102.0,89.0,92.0,,,,,,,,,,,,,,,,
2018_3263,Braga,,96,,117,95.0,88.0,,96.0,,,,,,,,,,,,,,,
2018_3264,Outro,156.0,135,,153,,,,,,,,,,128.0,,,,,,,,,
2018_3265,Coimbra,,106,,110,95.0,,,,90.0,,,,88.0,,,,,,,,,,
2018_3266,Outro,104.0,125,130.0,141,,,,,,,,,,,,,,,,,,,
2018_3267,Lisboa,,95,,103,82.0,88.0,,85.0,,,,,,,,,,,,,,,
2018_3268,Coimbra,,129,,163,169.0,151.0,145.0,,,,,,,,,,,,,,,,
2018_3269,Porto,,147,,158,147.0,155.0,126.0,,,,,,,,,,,,,,,,
2018_3270,Setúbal,,170,,196,180.0,200.0,171.0,,,,,,,,,,,,,,,,
2018_3271,Porto,,137,,150,,,,,,155.0,,118.0,,,,,,,,,,,
2018_3272,Lisboa,,105,,103,86.0,79.0,,88.0,,,,,,,,,,,,,,,
2018_3273,Outro,90.0,105,116.0,125,,,,,,,,,,,,,,,,,,,
2018_3274,Lisboa,108.0,126,,133,,,,,,,,,105.0,,,,,,,,,,
2018_3275,Outro,158.0,145,,175,,,,,,,,,,,159.0,,,,,,,,
2018_3276,Lisboa,,135,,154,166.0,135.0,128.0,,,,,,,,,,,,,,,,
2018_3277,Lisboa,,130,,150,125.0,159.0,,138.0,,,,,,,,,,,,,,,
2018_3278,Faro,,110,,116,102.0,120.0,102.0,,,,,,,,,,,,,,,,
2018_3279,Braga,,113,,124,116.0,,,,99.0,,,,96.0,,,,,,,,,,
2018_3280,Outro,,115,,131,116.0,119.0,,111.0,,,,,,,,,,,,,,,
2018_3281,Lisboa,,110,,120,90.0,,,,118.0,,,,108.0,,,,,,,,,,
2018_3282,Lisboa,,78,,100,50.0,55.0,70.0,,,,,,,,,,,,,,,,
2018_3283,Lisboa,111.0,125,,126,,,,,,,,,102.0,,,,,,,,,,
2018_3284,Coimbra,170.0,161,,193,,,,,,,,,199.0,,,,,,,,,,
2018_3285,Lisboa,,138,,150,135.0,132.0,135.0,,,,,,,,,,,,,,,,
2018_3286,Lisboa,146.0,166,,182,,,,,,,,,,190.0,,,,,,,,,
2018_3287,Lisboa,196.0,190,,200,,,,,,,,,,,189.0,,,,,,,,
2018_3288,Outro,,130,,145,115.0,128.0,,139.0,,,,,,,,,,,,,,,
2018_3289,Braga,65.0,79,,100,,,,,,,,,60.0,,,,,,,,,,
2018_3290,Faro,120.0,130,130.0,142,,,,,,,,,,,,,,,,,,,
2018_3291,Coimbra,,150,,197,195.0,185.0,195.0,,,,,,,,,,,,,,,,
2018_3292,Leiria,16.0,11,,100,,,,,,,,,,45.0,,,,,,,,,
2018_3293,Setúbal,,125,132.0,153,155.0,,,,135.0,,,,,,,,,,,,,,
2018_3294,Outro,,142,,169,158.0,153.0,152.0,,,,,,,,,,,,,,,,
2018_3295,Outro,,119,,142,118.0,124.0,128.0,,,,,,,,,,,,,,,,
2018_3296,Outro,196.0,150,,190,,,,,,,,,175.0,,,,,,,,,,
2018_3297,Porto,,96,,100,75.0,81.0,93.0,,,,,,,,,,,,,,,,
2018_3298,Outro,98.0,126,,115,,,,,,,,,101.0,,,,,,,,,,
2018_3299,Lisboa,,130,,147,145.0,140.0,126.0,,,,,,,,,,,,,,,,
2018_3300,Setúbal,,95,,100,80.0,,,,88.0,,,,90.0,,,,,,,,,,
2018_3301,Lisboa,,155,,167,166.0,137.0,152.0,,,,,,,,,,,,,,,,
2018_3302,Outro,,135,142.0,157,135.0,,,,145.0,,,,,,,,,,,,,,
2018_3303,Porto,,85,,100,72.0,90.0,95.0,,,,,,,,,,,,,,,,
2018_3304,Outro,,99,,106,70.0,95.0,86.0,,,,,,,,,,,,,,,,
2018_3305,Outro,96.0,115,,129,,,,,,,,,,,128.0,,,,,,,,
2018_3306,Porto,,149,,164,177.0,,,,161.0,,,,135.0,,,,,,,,,,
2018_3307,Lisboa,132.0,125,,144,,,,,,,,,,121.0,,,,,,,,,
2018_3308,Outro,,108,,116,85.0,108.0,97.0,,,,,,,95.0,,,,,,,,,
2018_3309,Outro,,156,,184,195.0,157.0,,200.0,,,,,,,,,,,,,,,
2018_3310,Outro,,129,,151,135.0,143.0,149.0,,,,,,,,,,,,,,,,
2018_3311,Outro,,141,,159,147.0,152.0,128.0,,,,,,,,,,,,,,,,
2018_3312,Lisboa,,190,,177,191.0,150.0,167.0,,,,,,,,,,,,,,,,
2018_3313,Outro,,190,,193,200.0,150.0,158.0,,,,,,,,,,,,,,,,
2018_3314,Coimbra,,135,,149,,,,,,167.0,,116.0,,,,,,,,,,,
2018_3315,Lisboa,,151,,180,148.0,167.0,171.0,,,,,,,,,,,,,,,,
2018_3316,Outro,,127,,171,175.0,165.0,148.0,,,,,,,,,,,,,,,,
2018_3317,Faro,110.0,117,,134,,,,,,,,,103.0,,,,,,,,,,
2018_3318,Setúbal,,127,,137,120.0,126.0,137.0,,,,,,,,,,,,,,,,
2018_3319,Lisboa,,119,,129,,,,,,135.0,,98.0,,,,,,,,,,,
2018_3320,Porto,,139,,157,149.0,137.0,152.0,,,,,,,,,,,,,,,,
2018_3321,Outro,,112,,126,115.0,121.0,123.0,,,,,,,,,,,,,,,,
2018_3322,Leiria,,112,,132,109.0,108.0,105.0,,,,,,,,,,,,,,,152.0,
2018_3323,Outro,72.0,87,,100,,,,,,,,,,76.0,,,,,,,,,
2018_3324,Lisboa,100.0,98,,110,,,,,,,,,85.0,,,,,,,,,,
2018_3325,Lisboa,196.0,190,,200,,,,,,,,,199.0,,,,,,,,,,
2018_3326,Lisboa,,135,140.0,145,125.0,,,,119.0,,,,,,,,,,,,,,
2018_3327,Outro,,136,,188,165.0,192.0,195.0,,,,,,,,,,,,,,,,
2018_3328,Lisboa,,100,,102,75.0,103.0,,64.0,,,108.0,,,,,,,,,,,,
2018_3329,Braga,49.0,56,70.0,100,,,,,,,,,,,,,,,,,,,
2018_3330,Lisboa,,125,,133,100.0,,,,133.0,,,,101.0,,,,,,,,,,
2018_3331,Outro,,85,,100,70.0,85.0,71.0,,,,,,,,,,,,,,,,
2018_3332,Lisboa,,106,128.0,120,102.0,,,,100.0,,,,,,,,,,,,,,
2018_3333,Lisboa,,95,,101,87.0,99.0,,72.0,,,,,,,,,,,,,,,
2018_3334,Braga,48.0,80,,100,,,,,,,,,,,85.0,,,,,,,,
2018_3335,Porto,,136,,138,111.0,146.0,115.0,,,,,,,,,,,,,,,,
2018_3336,Lisboa,,141,,160,162.0,155.0,138.0,,,,,,,,,,,,,,,,
2018_3337,Outro,,88,,104,95.0,83.0,98.0,,,,,,,,,,,,,,,,
2018_3338,Outro,,125,136.0,165,162.0,,,,161.0,,,,,,,,,,,,,,
2018_3339,Lisboa,168.0,169,,177,,,,,,,,,167.0,,,,,,,,,,
2018_3340,Coimbra,,82,,100,,,,52.0,,119.0,,,,,,,,,,,,,
2018_3341,Lisboa,,125,,147,137.0,130.0,118.0,,,,,,,,,,,,,,,,
2018_3342,Setúbal,,105,,122,101.0,118.0,121.0,,,,,,,,,,,,,,,,
2018_3343,Lisboa,74.0,88,,100,,,,,,,,,,90.0,,,,,,,,,
2018_3344,Lisboa,148.0,125,,150,,,,,,,,,,,156.0,,,,,,,,
2018_3345,Faro,186.0,173,,178,,,,,,,,,137.0,,,,,,,,,,
2018_3346,Setúbal,,135,,158,149.0,171.0,138.0,,,,,,,,,,,,,,,,
2018_3347,Porto,,132,,156,133.0,157.0,,155.0,,,,,,,,,,,,,,,
2018_3348,Outro,,106,,130,,,,96.0,,135.0,,,,,,,,,,,,,
2018_3349,Lisboa,101.0,117,,124,,,,,,,,,,115.0,,,,,,,,,
2018_3350,Outro,122.0,145,130.0,150,,,,,,,,,,,,,,,,,,,
2018_3351,Lisboa,,120,,153,135.0,,,,156.0,,,,141.0,,,,,,,,,,
2018_3352,Braga,98.0,116,132.0,133,,,,,,,,,,,,,,,,,,,
2018_3353,Porto,,78,,100,71.0,87.0,85.0,,,,,,,,,,,,,,,,
2018_3354,Lisboa,115.0,138,136.0,148,,,,,,146.0,,,,,,,,,,,,,
2018_3355,Porto,,130,,160,162.0,151.0,137.0,,,,,,,,,,,,,,,,
2018_3356,Outro,,95,,100,75.0,77.0,90.0,,,,,,,,,,,,,,,,
2018_3357,Faro,,109,,129,112.0,95.0,108.0,,,,,,,,,,,,,,,154.0,
2018_3358,Lisboa,,108,,136,,,,118.0,,137.0,,,,,,,,,,,,,
2018_3359,Lisboa,,96,,109,89.0,91.0,101.0,,,,,,,,,,,,,,,,
2018_3360,Outro,120.0,121,,136,,,,,,,,,,,144.0,,,,,,,,
2018_3361,Coimbra,,100,,106,96.0,91.0,91.0,,,,,,,,,,,,,,,,
2018_3362,Outro,,112,122.0,125,96.0,,,,108.0,,,,,,,122.0,,,,,,,
2018_3363,Lisboa,126.0,128,132.0,142,,,,,,,,,,,,,,,,,,,
2018_3364,Coimbra,,91,,100,65.0,69.0,86.0,,,,,,,,,,,,,,,,
2018_3365,Outro,,125,,151,137.0,,,,149.0,,,,123.0,,,,,,,,,,
2018_3366,Outro,133.0,160,,178,,,,,,,,,176.0,,,,,,,,,,
2018_3367,Setúbal,66.0,70,,100,,,,,,,,,,78.0,,,,,,,,,
2018_3368,Faro,100.0,100,116.0,117,,,,,,,,,,,,,,,,,,,
2018_3369,Leiria,,140,,159,159.0,126.0,136.0,,,,,,,,,,,,,,,,
2018_3370,Outro,,117,,119,95.0,115.0,105.0,,,,,,,,,,,,,,,,
2018_3371,Coimbra,86.0,100,,126,,,,,,,,,,,143.0,,,,,,,,
2018_3372,Coimbra,119.0,115,,128,,,,,,,,,108.0,,,,,,,,,,
2018_3373,Lisboa,,138,,188,200.0,166.0,195.0,,,,,,,,,,,,,,,,
2018_3374,Braga,,85,88.0,100,62.0,,,,79.0,,,,,,,,,,,,,,
2018_3375,Outro,100.0,116,,123,,,,,,,,,,107.0,,,,,,,,,
2018_3376,Lisboa,118.0,119,,124,,,,,,,,,,114.0,,,,,,,,,
2018_3377,Lisboa,129.0,139,,150,,,,,,,,,,135.0,,,,,,,,,
2018_3378,Porto,,126,,162,162.0,133.0,,165.0,,,,,,,,,,,,,,,
2018_3379,Outro,115.0,138,,153,,,,,,,,,,,170.0,,,,,,,,
2018_3380,Leiria,,95,,109,,,,,,128.0,,81.0,,,,108.0,,,,,,,
2018_3381,Outro,,131,,178,178.0,186.0,,176.0,,,,,,,,,,,,,,,
2018_3382,Outro,,127,,166,135.0,146.0,,191.0,,,,,,,,,,,,,,,
2018_3383,Faro,,149,,175,155.0,129.0,,191.0,,,,,,,,,,,,,,,
2018_3384,Outro,,136,,139,125.0,139.0,125.0,,,,,,,,,,,,,,,,
2018_3385,Porto,,106,,121,109.0,119.0,,101.0,,,,,,,,,,,,,,,
2018_3386,Porto,102.0,130,,144,,,,,,,,,,,150.0,,,,,,,,
2018_3387,Porto,,135,,157,,,,159.0,,156.0,,,,,,,,,,,,,
2018_3388,Braga,126.0,135,,140,128.0,117.0,118.0,,,,,,,,,,,,,,,,
2018_3389,Braga,,147,,191,200.0,,,,200.0,,,,156.0,,,,,,,,,,
2018_3390,Outro,,155,,188,,,,200.0,,171.0,,,,,,,,,,,,,
2018_3391,Outro,,85,,100,77.0,70.0,89.0,,,,,,,,,,,,,,,,
2018_3392,Leiria,,127,,141,129.0,121.0,125.0,,,,,,,,,,,,,,,,
2018_3393,Lisboa,99.0,107,118.0,119,,,,,,,,,,,,,,,,,,,
2018_3394,Lisboa,136.0,130,140.0,152,,,,,,,,,,,,,,,,,,,
2018_3395,Porto,,121,,159,160.0,146.0,,167.0,,,,,,,,,,,,,,,
2018_3396,Lisboa,98.0,116,,129,,,,,,,,,,,150.0,,,,,,,,
2018_3397,Setúbal,162.0,190,,184,,,,,,,,,,,170.0,,,,,,,,
2018_3398,Lisboa,,105,,101,95.0,88.0,90.0,,,,,,,,,,,,,,,,
2018_3399,Outro,,142,,172,158.0,176.0,145.0,,,,,,,,,,,,,,,,
2018_3400,Porto,,109,,128,111.0,123.0,116.0,,,,,,,,,,,,,,,,
2018_3401,Lisboa,132.0,190,168.0,177,,,,,,,,,,,,,,,,,,,
2018_3402,Lisboa,,137,,149,,,,,,153.0,,133.0,,,,,,,,,,,
2018_3403,Outro,109.0,106,126.0,126,,,,,,,,,,,,,,,,,,,
2018_3404,Lisboa,,85,106.0,100,56.0,,,,82.0,,,,,,,,,,,,,,
2018_3405,Porto,,135,,142,127.0,127.0,140.0,,,,,,,,,,,,,,,,
2018_3406,Outro,110.0,136,,130,,,,,,,,,117.0,,,,,,,,,,
2018_3407,Porto,,105,,114,95.0,97.0,,86.0,,,,,,,,,,,,,,,
2018_3408,Setúbal,,190,,175,,,,,,177.0,,137.0,,,,,,,,,,,
2018_3409,Outro,,135,132.0,155,135.0,,,,165.0,,,,,,,,,,,,,,
2018_3410,Lisboa,95.0,118,126.0,128,,,,,,,,,,,,,,,,,,,
2018_3411,Braga,,190,,186,,,,,,190.0,,142.0,,,,,,,,,,,
